Title,Year,Genres,Runtime,Rating,Metascore,Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
The Chronicles of Riddick,2004.0,"['Action', 'Adventure', 'Sci-Fi']",119.0,6.7,38.0,184272.0,57640000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Before Sunrise,1995.0,"['Drama', 'Romance']",105.0,8.1,77.0,184030.0,5400000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Rango,2011.0,"['Animation', 'Adventure', 'Comedy']",107.0,7.2,75.0,183815.0,123210000.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Austin Powers: International Man of Mystery,1997.0,"['Comedy', 'Crime']",89.0,7.0,51.0,183764.0,53870000.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Valkyrie,2008.0,"['Drama', 'History', 'Thriller']",121.0,7.1,56.0,183755.0,83080000.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Kung Fu Panda 2,2011.0,"['Animation', 'Action', 'Adventure']",90.0,7.3,67.0,183539.0,165230000.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RoboCop,2014.0,"['Action', 'Crime', 'Sci-Fi']",117.0,6.2,52.0,183429.0,58610000.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Hook,1991.0,"['Adventure', 'Comedy', 'Family']",142.0,6.7,52.0,183344.0,119650000.0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
National Treasure: Book of Secrets,2007.0,"['Action', 'Adventure', 'Comedy']",124.0,6.5,48.0,183266.0,219960000.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Holiday,2006.0,"['Comedy', 'Romance']",138.0,6.9,52.0,183264.0,63220000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Dog Day Afternoon,1975.0,"['Crime', 'Drama']",125.0,8.0,,183164.0,,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ghost Rider,2007.0,"['Action', 'Fantasy', 'Thriller']",114.0,5.2,35.0,183106.0,115800000.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
The Twilight Saga: Breaking Dawn - Part 1,2011.0,"['Adventure', 'Drama', 'Fantasy']",117.0,4.9,45.0,182930.0,281280000.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Zootopia,2016.0,"['Animation', 'Action', 'Adventure']",108.0,8.1,78.0,182871.0,341260000.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Snowpiercer,2013.0,"['Action', 'Drama', 'Sci-Fi']",126.0,7.0,84.0,182399.0,4560000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
A Few Good Men,1992.0,"['Drama', 'Thriller']",138.0,7.6,62.0,182350.0,141340000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Lone Ranger,2013.0,"['Action', 'Adventure', 'Western']",150.0,6.5,37.0,182215.0,89290000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Clerks,1994.0,['Comedy'],92.0,7.8,70.0,182157.0,3150000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dogma,1999.0,"['Adventure', 'Comedy', 'Drama']",130.0,7.4,62.0,182108.0,30650000.0,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mrs. Doubtfire,1993.0,"['Comedy', 'Drama', 'Family']",125.0,6.9,53.0,182011.0,219200000.0,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Grown Ups,2010.0,['Comedy'],102.0,6.0,30.0,181956.0,162000000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
End of Watch,2012.0,"['Crime', 'Drama', 'Thriller']",109.0,7.7,68.0,181720.0,40980000.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Austin Powers: The Spy Who Shagged Me,1999.0,"['Action', 'Adventure', 'Comedy']",95.0,6.6,59.0,181551.0,205400000.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Final Destination,2000.0,"['Horror', 'Thriller']",98.0,6.7,36.0,181527.0,53300000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
RoboCop,1987.0,"['Action', 'Crime', 'Sci-Fi']",102.0,7.5,67.0,181426.0,53420000.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Contagion,2011.0,"['Drama', 'Thriller']",106.0,6.6,70.0,180828.0,75640000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bridge of Spies,2015.0,"['Drama', 'History', 'Thriller']",142.0,7.6,81.0,180449.0,72310000.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Rambo,2008.0,"['Action', 'Thriller', 'War']",92.0,7.1,46.0,180365.0,42720000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
